"filename", "language", "TOML", "Markdown", "HTML", "JavaScript", "XML", "CSS", "YAML", "comment", "blank", "total"
"d:\blog local\lira-gallery-website\.github\workflows\hugp.yaml", "YAML", 0, 0, 0, 0, 0, 0, 62, 9, 9, 80
"d:\blog local\lira-gallery-website\archetypes\default.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\blog local\lira-gallery-website\content\archive\blueprints\index.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\archive\index.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\blog local\lira-gallery-website\content\contacts.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-1\index.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-2\second.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-3\thrid.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-4\fourt.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-5\five.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\The-example-7\severn.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\The-other-thing\fix.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\blog local\lira-gallery-website\content\exhibitions\the-hundred-year-window\index.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 8, 18
"d:\blog local\lira-gallery-website\content\gallery.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"d:\blog local\lira-gallery-website\hugo.toml", "TOML", 41, 0, 0, 0, 0, 0, 0, 1, 18, 60
"d:\blog local\lira-gallery-website\layouts\_default\archive.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 4, 11, 53
"d:\blog local\lira-gallery-website\layouts\_default\baseof.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 4, 10, 51
"d:\blog local\lira-gallery-website\layouts\_default\baseof1.html", "HTML", 0, 0, 25, 0, 0, 0, 0, 0, 11, 36
"d:\blog local\lira-gallery-website\layouts\_default\blueprints.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 2, 7, 35
"d:\blog local\lira-gallery-website\layouts\_default\contacts.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 2, 3, 33
"d:\blog local\lira-gallery-website\layouts\_default\gallery.html", "HTML", 0, 0, 30, 0, 0, 0, 0, 4, 8, 42
"d:\blog local\lira-gallery-website\layouts\_default\list.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\blog local\lira-gallery-website\layouts\_default\single.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 5, 12, 57
"d:\blog local\lira-gallery-website\layouts\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 6, 29
"d:\blog local\lira-gallery-website\layouts\partials\footer.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\blog local\lira-gallery-website\layouts\partials\head.html", "HTML", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\blog local\lira-gallery-website\layouts\partials\header.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 2, 6, 42
"d:\blog local\lira-gallery-website\public\archive\blueprints\index.html", "HTML", 0, 0, 111, 0, 0, 0, 0, 0, 56, 167
"d:\blog local\lira-gallery-website\public\archive\index.html", "HTML", 0, 0, 128, 0, 0, 0, 0, 0, 71, 199
"d:\blog local\lira-gallery-website\public\blueprints\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\categories\index.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 0, 41, 132
"d:\blog local\lira-gallery-website\public\categories\index.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\blog local\lira-gallery-website\public\contacts\index.html", "HTML", 0, 0, 116, 0, 0, 0, 0, 0, 44, 160
"d:\blog local\lira-gallery-website\public\css\base.css", "CSS", 0, 0, 0, 0, 0, 622, 0, 33, 91, 746
"d:\blog local\lira-gallery-website\public\css\footer.css", "CSS", 0, 0, 0, 0, 0, 41, 0, 6, 9, 56
"d:\blog local\lira-gallery-website\public\css\side-bars.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 6, 8, 68
"d:\blog local\lira-gallery-website\public\css\single.css", "CSS", 0, 0, 0, 0, 0, 210, 0, 14, 43, 267
"d:\blog local\lira-gallery-website\public\exhibitions\index.html", "HTML", 0, 0, 155, 0, 0, 0, 0, 0, 49, 204
"d:\blog local\lira-gallery-website\public\exhibitions\index.xml", "XML", 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-1\index.html", "HTML", 0, 0, 124, 0, 0, 0, 0, 0, 61, 185
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-2\second\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-3\thrid\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-4\fourt\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-5\five\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\exhibitions\the-example-7\severn\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\exhibitions\the-hundred-year-window\index.html", "HTML", 0, 0, 123, 0, 0, 0, 0, 0, 57, 180
"d:\blog local\lira-gallery-website\public\exhibitions\the-other-thing\fix\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\gallery\blueprints\index.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 0, 57, 177
"d:\blog local\lira-gallery-website\public\gallery\index.html", "HTML", 0, 0, 119, 0, 0, 0, 0, 0, 55, 174
"d:\blog local\lira-gallery-website\public\index.html", "HTML", 0, 0, 107, 0, 0, 0, 0, 0, 53, 160
"d:\blog local\lira-gallery-website\public\index.xml", "XML", 0, 0, 0, 0, 89, 0, 0, 0, 1, 90
"d:\blog local\lira-gallery-website\public\js\image-gallery.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 5, 7, 32
"d:\blog local\lira-gallery-website\public\js\screensaver.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"d:\blog local\lira-gallery-website\public\js\time.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
"d:\blog local\lira-gallery-website\public\sitemap.xml", "XML", 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"d:\blog local\lira-gallery-website\public\tags\index.html", "HTML", 0, 0, 91, 0, 0, 0, 0, 0, 41, 132
"d:\blog local\lira-gallery-website\public\tags\index.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\blog local\lira-gallery-website\public\ui\arrow.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\blog local\lira-gallery-website\public\ui\circles.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 38
"d:\blog local\lira-gallery-website\public\ui\decorative-overlay.svg", "XML", 0, 0, 0, 0, 134, 0, 0, 1, 1, 136
"d:\blog local\lira-gallery-website\public\ui\lander.svg", "XML", 0, 0, 0, 0, 1473, 0, 0, 1, 1, 1475
"d:\blog local\lira-gallery-website\public\ui\lira-logo-box.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\blog local\lira-gallery-website\public\ui\ncf.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"d:\blog local\lira-gallery-website\public\ui\nia-svg.svg", "XML", 0, 0, 0, 0, 18625, 0, 0, 0, 13, 18638
"d:\blog local\lira-gallery-website\public\ui\side-deco.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\blog local\lira-gallery-website\public\ui\star.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"d:\blog local\lira-gallery-website\static\css\base.css", "CSS", 0, 0, 0, 0, 0, 622, 0, 33, 91, 746
"d:\blog local\lira-gallery-website\static\css\footer.css", "CSS", 0, 0, 0, 0, 0, 41, 0, 6, 9, 56
"d:\blog local\lira-gallery-website\static\css\side-bars.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 6, 8, 68
"d:\blog local\lira-gallery-website\static\css\single.css", "CSS", 0, 0, 0, 0, 0, 210, 0, 14, 43, 267
"d:\blog local\lira-gallery-website\static\js\image-gallery.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 5, 7, 32
"d:\blog local\lira-gallery-website\static\js\screensaver.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 9, 45
"d:\blog local\lira-gallery-website\static\js\time.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 4, 21
"d:\blog local\lira-gallery-website\static\ui\arrow.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\blog local\lira-gallery-website\static\ui\circles.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 38
"d:\blog local\lira-gallery-website\static\ui\decorative-overlay.svg", "XML", 0, 0, 0, 0, 134, 0, 0, 1, 1, 136
"d:\blog local\lira-gallery-website\static\ui\lander.svg", "XML", 0, 0, 0, 0, 1473, 0, 0, 1, 1, 1475
"d:\blog local\lira-gallery-website\static\ui\lira-logo-box.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\blog local\lira-gallery-website\static\ui\ncf.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"d:\blog local\lira-gallery-website\static\ui\nia-svg.svg", "XML", 0, 0, 0, 0, 18625, 0, 0, 0, 13, 18638
"d:\blog local\lira-gallery-website\static\ui\side-deco.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\blog local\lira-gallery-website\static\ui\star.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"Total", "-", 41, 94, 2439, 138, 40933, 1854, 62, 177, 1507, 47245